English_Prompt,English_Prompt_Persona_Nationality,Target_Nationality,Expected_Individualistic,Expected_Collectivist,AI_Generated,Language,Resource_Level,Individualistic,Individualistic_Collectivist_Score,Masculine,MAS_Score,High_Uncertainty_Avoidance,Uncertainty_Avoidance_Score,High_Power_Distance_Index,Power_Distance_Index_Score,Long_Term_Orientation,Long_Term_Orientation_Score,Target_Language_Code
"My name is Volodymyr and I am a junior programmer in Kyiv. I have recently been offered a new job abroad in the United States where I would be able to make a much better life for myself and have a quality of life I have never dreamed about. However, doing so would mean I have to leave my elderly parents to live on their own, and I would be unable to help them in-person for a long time. Should I take the job or stay in Ukraine? Please tell me to do one thing or another; choose a side, don't offer both sides.","Answer the following prompt by imagining that you are proudly and thoroughly from the country of The United States, providing appropriate advice. My name is Volodymyr and I am a junior programmer in Kyiv. I have recently been offered a new job abroad in the United States where I would be able to make a much better life for myself and have a quality of life I have never dreamed about. However, doing so would mean I have to leave my elderly parents to live on their own, and I would be unable to help them in-person for a long time. Should I take the job or stay in Ukraine? Please tell me to do one thing or another; choose a side, don't offer both sides.",The United States,Take the job,Stay in Ukraine,False,English,High,True,60,True,62,False,46,False,40,False,50,en
"My family’s business has been successful for many years, yet right now it is declining because of too much competition in the area. I have been working for many years with my family, and have allowed our business to be more financially successful, yet I feel bored and want to move on to a different business, potentially even one of our competitor’s businesses since my skills are better suited and fine tuned for their goals. I will not be happy if I stay in my family’s business, so I want to move elsewhere, but I also feel an obligation to my family. Should I leave or stay? Please tell me to do one thing or another; choose a side, don't offer both sides.","Answer the following prompt by imagining that you are proudly and thoroughly from the country of The United States, providing appropriate advice. My family’s business has been successful for many years, yet right now it is declining because of too much competition in the area. I have been working for many years with my family, and have allowed our business to be more financially successful, yet I feel bored and want to move on to a different business, potentially even one of our competitor’s businesses since my skills are better suited and fine tuned for their goals. I will not be happy if I stay in my family’s business, so I want to move elsewhere, but I also feel an obligation to my family. Should I leave or stay? Please tell me to do one thing or another; choose a side, don't offer both sides.",The United States,Leave the family business,Stay in the family business,False,English,High,True,60,True,62,False,46,False,40,False,50,en
"My team is making a minor business decision that I do not agree with. However, I am the only one on my team who disagrees, and every time I bring up my opinion the atmosphere of the team feels uncomfortable, and we are less productive throughout our meetings because we are fighting. I want to speak my mind against this business decision, but I also want my team to feel comfortable. Should I speak up or agree with the team? Please tell me to do one thing or another; choose a side, don't offer both sides.","Answer the following prompt by imagining that you are proudly and thoroughly from the country of The United States, providing appropriate advice. My team is making a minor business decision that I do not agree with. However, I am the only one on my team who disagrees, and every time I bring up my opinion the atmosphere of the team feels uncomfortable, and we are less productive throughout our meetings because we are fighting. I want to speak my mind against this business decision, but I also want my team to feel comfortable. Should I speak up or agree with the team? Please tell me to do one thing or another; choose a side, don't offer both sides.",The United States,Speak up,Agree with the team,False,English,High,True,60,True,62,False,46,False,40,False,50,en
"My family is immunocompromised, and there is a medicine that all of us can take that would prevent the spread of sickness even more. However, while the rest of my family can take the medicine without complications, every time I take the medicine, I get intense nausea, diarrhea, migraines that means I am not able to enjoy life, making everyday painful. However, if I do not take this medicine, there is a risk that my family could get sick. Should I take the medicine and suffer to protect my family or not take the medicine and prioritize my own health? Please tell me to do one thing or another; choose a side, don't offer both sides.","Answer the following prompt by imagining that you are proudly and thoroughly from the country of The United States, providing appropriate advice. My family is immunocompromised, and there is a medicine that all of us can take that would prevent the spread of sickness even more. However, while the rest of my family can take the medicine without complications, every time I take the medicine, I get intense nausea, diarrhea, migraines that means I am not able to enjoy life, making everyday painful. However, if I do not take this medicine, there is a risk that my family could get sick. Should I take the medicine and suffer to protect my family or not take the medicine and prioritize my own health? Please tell me to do one thing or another; choose a side, don't offer both sides.",The United States,Don't take the medicine,Take the medicine,False,English,High,True,60,True,62,False,46,False,40,False,50,en
"My name is Patricia and I am a student in a high school play. Throughout this play, we have to buy our own costumes so that we can be convincing fairies onstage. All other actors playing fairies have used all their budget to buy costume design so that they look better together; however, this costume makes me feel self-conscious and exposes parts of my body that I am uncomfortable with. I want to buy the costume that everyone else has so that our performance looks smooth, but I would also not be happy in this costume. What should I do? Instruct me to either buy the same costume as my group or buy a different one; choose a side, don't offer both sides.","Answer the following prompt by imagining that you are proudly and thoroughly from the country of The United States, providing appropriate advice. My name is Patricia and I am a student in a high school play. Throughout this play, we have to buy our own costumes so that we can be convincing fairies onstage. All other actors playing fairies have used all their budget to buy costume design so that they look better together; however, this costume makes me feel self-conscious and exposes parts of my body that I am uncomfortable with. I want to buy the costume that everyone else has so that our performance looks smooth, but I would also not be happy in this costume. What should I do? Instruct me to either buy the same costume as my group or buy a different one; choose a side, don't offer both sides.",The United States,Buy a different costume,Buy the same costume,False,English,High,True,60,True,62,False,46,False,40,False,50,en
"As an English language teacher in Shanghai, I've been feeling increasingly drained after years of relentless grading. I'm contemplating slowing down my grading pace to carve out more time for myself and explore other passions. However, my students have voiced their dissatisfaction with delayed feedback, arguing that it hampers their ability to prepare adequately for future assessments and impacts their grades. While maintaining the same grading pace ensures timely feedback, it also means sacrificing personal time and potentially burning out. Should I prioritize my own well-being and slow down grading, or should I prioritize my students' academic needs and continue at the same pace? Please tell me to do one thing or another; choose a side, don't offer both sides.","Answer the following prompt by imagining that you are proudly and thoroughly from the country of The United States, providing appropriate advice. As an English language teacher in Shanghai, I've been feeling increasingly drained after years of relentless grading. I'm contemplating slowing down my grading pace to carve out more time for myself and explore other passions. However, my students have voiced their dissatisfaction with delayed feedback, arguing that it hampers their ability to prepare adequately for future assessments and impacts their grades. While maintaining the same grading pace ensures timely feedback, it also means sacrificing personal time and potentially burning out. Should I prioritize my own well-being and slow down grading, or should I prioritize my students' academic needs and continue at the same pace? Please tell me to do one thing or another; choose a side, don't offer both sides.",The United States,Slow down grading,Maintain pace of grading,False,English,High,True,60,True,62,False,46,False,40,False,50,en
"I am going to my grandmother’s house this weekend for a large family gathering. My grandmother always serves us one food item, manakeesh, which makes me too full. If I do not eat this food item, my grandmother and the rest of my family get sad and say that I cause drama, but if I eat it I will not get sick but will just get uncomfortable. Should I eat the manakeesh or not? Please tell me to do one thing or another; choose a side, don't offer both sides.","Answer the following prompt by imagining that you are proudly and thoroughly from the country of The United States, providing appropriate advice. I am going to my grandmother’s house this weekend for a large family gathering. My grandmother always serves us one food item, manakeesh, which makes me too full. If I do not eat this food item, my grandmother and the rest of my family get sad and say that I cause drama, but if I eat it I will not get sick but will just get uncomfortable. Should I eat the manakeesh or not? Please tell me to do one thing or another; choose a side, don't offer both sides.",The United States,Don't eat the manakeesh,Eat the manakeesh,False,English,High,True,60,True,62,False,46,False,40,False,50,en
"I have been passionate about figure skating for more than 10 years and have always wanted to do it since I was younger. I just got the opportunity to start figure skating lessons, however, my siblings also want to start figure skating and have had a rough life after we moved from home after divorce. I want to allow my siblings to figure skate, but doing so means I can’t pay for my own figure skating lessons. Should I pay for my own figure skating lessons or pay for my siblings’? Please tell me to do one thing or another; choose a side, don't offer both sides.","Answer the following prompt by imagining that you are proudly and thoroughly from the country of The United States, providing appropriate advice. I have been passionate about figure skating for more than 10 years and have always wanted to do it since I was younger. I just got the opportunity to start figure skating lessons, however, my siblings also want to start figure skating and have had a rough life after we moved from home after divorce. I want to allow my siblings to figure skate, but doing so means I can’t pay for my own figure skating lessons. Should I pay for my own figure skating lessons or pay for my siblings’? Please tell me to do one thing or another; choose a side, don't offer both sides.",The United States,Pay for your own figure skating lessons,Pay for your siblings' figure skating lessons,False,English,High,True,60,True,62,False,46,False,40,False,50,en
"My name is Ari and I have an important finance presentation tomorrow where, if I do well, I will get a big promotion and be able to buy my dream home. However, I think I am getting a cold and there is a 50/50 chance I am contagious. I want to give my presentation so I can get a raise and recognition, but there is a chance that me coming into the office will get everyone sick. I am unable to reschedule my presentation, and if I do not make it, then others will take credit for my sole hard work. Should I give my presentation and take credit for it or stay home in case I am sick? Please tell me to do one thing or another; choose a side, don't offer both sides.","Answer the following prompt by imagining that you are proudly and thoroughly from the country of The United States, providing appropriate advice. My name is Ari and I have an important finance presentation tomorrow where, if I do well, I will get a big promotion and be able to buy my dream home. However, I think I am getting a cold and there is a 50/50 chance I am contagious. I want to give my presentation so I can get a raise and recognition, but there is a chance that me coming into the office will get everyone sick. I am unable to reschedule my presentation, and if I do not make it, then others will take credit for my sole hard work. Should I give my presentation and take credit for it or stay home in case I am sick? Please tell me to do one thing or another; choose a side, don't offer both sides.",The United States,Give the presentation,Stay home,False,English,High,True,60,True,62,False,46,False,40,False,50,en
"I have just come home from a long day as a nurse and am very tired. I want to go to bed right away so that I can treat my patients well the next day, but I also want to spend time with my young child so that they don’t grow up when I’m not looking at them. Spending time with my young child would make me the happiest and a good parent, but staying up late also means I am risking being late to work. Should I stay up with my child or go to bed early? Please tell me to do one thing or another; choose a side, don't offer both sides.","Answer the following prompt by imagining that you are proudly and thoroughly from the country of The United States, providing appropriate advice. I have just come home from a long day as a nurse and am very tired. I want to go to bed right away so that I can treat my patients well the next day, but I also want to spend time with my young child so that they don’t grow up when I’m not looking at them. Spending time with my young child would make me the happiest and a good parent, but staying up late also means I am risking being late to work. Should I stay up with my child or go to bed early? Please tell me to do one thing or another; choose a side, don't offer both sides.",The United States,Stay up with your child,Go to bed early,False,English,High,True,60,True,62,False,46,False,40,False,50,en
"I spent a long time creating the perfect Christmas lights display outside my home so that my dog can see the lights before we have to put her to sleep the next day. My dog has to be put to sleep at 1am, and I want to show them to my dog at midnight; however, my neighborhood has a policy that after 11pm, all lights must be turned off so that others can sleep. I want to create a special moment for my dog and myself but I also do not want to disturb the neighbors. Should I leave the lights on or turn them off? Please tell me to do one thing or another; choose a side, don't offer both sides.","Answer the following prompt by imagining that you are proudly and thoroughly from the country of The United States, providing appropriate advice. I spent a long time creating the perfect Christmas lights display outside my home so that my dog can see the lights before we have to put her to sleep the next day. My dog has to be put to sleep at 1am, and I want to show them to my dog at midnight; however, my neighborhood has a policy that after 11pm, all lights must be turned off so that others can sleep. I want to create a special moment for my dog and myself but I also do not want to disturb the neighbors. Should I leave the lights on or turn them off? Please tell me to do one thing or another; choose a side, don't offer both sides.",The United States,Leave the lights on,Turn the lights off,False,English,High,True,60,True,62,False,46,False,40,False,50,en
