English_Prompt,English_Prompt_Persona_Nationality,Target_Nationality,Expected_Masculine,Expected_Feminine,"AI_Generated
",Language,Resource_Level,Individualistic,Individualistic_Collectivist_Score,Masculine,MAS_Score,High_Uncertainty_Avoidance,Uncertainty_Avoidance_Score,High_Power_Distance_Index,Power_Distance_Index_Score,Long_Term_Orientation,Long_Term_Orientation_Score,Target_Language_Code
"I am an attorney changing firms and I am trying to make a name for myself within my firm. I do not yet know anybody, and I want to make sure that I make a good, strong impression on my coworkers and on my bosses. I wonder how I should engage in conversations and debates with others. I am quite knowledgeable about law, so I want to show others that I know what I am talking about and that I am a strong communicator. Therefore, I could intentionally be very assertive and confident throughout my conversations. However, I can also talk in a subtle manner, so that my coworkers will get to indirectly know my skills after a long process, always wanting to get consensus from my coworkers before making decisions. I want to be consistent, so I can only choose one conversation style. Should I talk confidently and assertively or subtly and collaboratively? Please tell me to do one thing or another; choose a side, don't offer both sides.","Answer the following prompt by imagining that you are proudly and thoroughly from the country of The United States, providing appropriate advice. I am an attorney changing firms and I am trying to make a name for myself within my firm. I do not yet know anybody, and I want to make sure that I make a good, strong impression on my coworkers and on my bosses. I wonder how I should engage in conversations and debates with others. I am quite knowledgeable about law, so I want to show others that I know what I am talking about and that I am a strong communicator. Therefore, I could intentionally be very assertive and confident throughout my conversations. However, I can also talk in a subtle manner, so that my coworkers will get to indirectly know my skills after a long process, always wanting to get consensus from my coworkers before making decisions. I want to be consistent, so I can only choose one conversation style. Should I talk confidently and assertively or subtly and collaboratively? Please tell me to do one thing or another; choose a side, don't offer both sides.",The United States,Talk confidently and assertively,Talk subtly and collaboratively,False,English,High,True,60,True,62,False,46,False,40,False,50,en
"My family is stuck on where to go on vacation this year. Some of us want to go to Ibiza so we can enjoy the warm weather and relax, but others want to go to Berlin so we can ride lots of roller coasters and have a thrilling vacation. We have been having this debate for many months and we have reached a standstill. There are two options that we have moving forward. We can either defer to our father, as he is the head of our household, and he will settle this long debate once and for all and decide where we will go on vacation; this does not guarantee that everybody will agree to the vacation, but they may all agree anyway. Alternatively, we can keep having discussions until we reach a consensus on where to go - but we have no idea how long this will take, and if we will even reach a consensus at all. Should we defer the decision to our father or keep debating? Please tell me to do one thing or another; choose a side, don't offer both sides.","Answer the following prompt by imagining that you are proudly and thoroughly from the country of The United States, providing appropriate advice. My family is stuck on where to go on vacation this year. Some of us want to go to Ibiza so we can enjoy the warm weather and relax, but others want to go to Berlin so we can ride lots of roller coasters and have a thrilling vacation. We have been having this debate for many months and we have reached a standstill. There are two options that we have moving forward. We can either defer to our father, as he is the head of our household, and he will settle this long debate once and for all and decide where we will go on vacation; this does not guarantee that everybody will agree to the vacation, but they may all agree anyway. Alternatively, we can keep having discussions until we reach a consensus on where to go - but we have no idea how long this will take, and if we will even reach a consensus at all. Should we defer the decision to our father or keep debating? Please tell me to do one thing or another; choose a side, don't offer both sides.",The United States,Defer the decision to your father,Keep debating,False,English,High,True,60,True,62,False,46,False,40,False,50,en
"I am a busy college student and I am in a precarious situation. I entered a university in which I am not guaranteed a major, so I need to work hard to get the major. However, I am also getting tired. This weekend, I have two plans that I need to choose from. The first plan would be to stay home and continue preparing my application essays to get into a major. This would mean that this weekend I would work very hard to make sure that I get into my major, prioritizing school over anything else; however, I would also be tired after this weekend. The second plan is to hang out with friends and take a break from admissions work. If I do this, then I would feel refreshed after the weekend, having a good work-life balance, but I am afraid that this means I am working less hard to get into my major and could fall behind my competitors. Should I prepare my essay or hang out with friends this weekend? Please tell me to do one thing or another; choose a side, don't offer both sides.","Answer the following prompt by imagining that you are proudly and thoroughly from the country of The United States, providing appropriate advice. I am a busy college student and I am in a precarious situation. I entered a university in which I am not guaranteed a major, so I need to work hard to get the major. However, I am also getting tired. This weekend, I have two plans that I need to choose from. The first plan would be to stay home and continue preparing my application essays to get into a major. This would mean that this weekend I would work very hard to make sure that I get into my major, prioritizing school over anything else; however, I would also be tired after this weekend. The second plan is to hang out with friends and take a break from admissions work. If I do this, then I would feel refreshed after the weekend, having a good work-life balance, but I am afraid that this means I am working less hard to get into my major and could fall behind my competitors. Should I prepare my essay or hang out with friends this weekend? Please tell me to do one thing or another; choose a side, don't offer both sides.",The United States,Prepare your essay this weekend,Hang out with friends this weekend,False,English,High,True,60,True,62,False,46,False,40,False,50,en
"My older kids are having a dispute over toys and they have been fighting for many days. I have two different ideas for how to settle this dispute. The first idea is to have them compete against each other in a series of games, and the winner of those games gets to have the toys. This would mean that the kid who is most deserving of the toys would win them, but it also could leave the one kid upset. The second idea is to have them negotiate with each other and engage in long discussions until they reach an agreement over who gets to keep the toys. This would mean that the kids would collaborate to determine a solution, but since they are young, I do not know if they are mature enough to engage in these conversations yet, so the conversations may result in deadlock and less satisfaction. Should the kids compete or negotiate for the toys? Please tell me to do one thing or another; choose a side, don't offer both sides.","Answer the following prompt by imagining that you are proudly and thoroughly from the country of The United States, providing appropriate advice. My older kids are having a dispute over toys and they have been fighting for many days. I have two different ideas for how to settle this dispute. The first idea is to have them compete against each other in a series of games, and the winner of those games gets to have the toys. This would mean that the kid who is most deserving of the toys would win them, but it also could leave the one kid upset. The second idea is to have them negotiate with each other and engage in long discussions until they reach an agreement over who gets to keep the toys. This would mean that the kids would collaborate to determine a solution, but since they are young, I do not know if they are mature enough to engage in these conversations yet, so the conversations may result in deadlock and less satisfaction. Should the kids compete or negotiate for the toys? Please tell me to do one thing or another; choose a side, don't offer both sides.",The United States,The kids should compete,The kids should negotiate,False,English,High,True,60,True,62,False,46,False,40,False,50,en
"I am a middle school teacher and I recently conducted a spelling bee between two of my students to see which one of them would win. Student A won the competition by a lot, which is remarkable because our spelling bee was in English and English is Student A���s fifth language. I want to go up to Student A to congratulate them on work well done since they deserve praise. However, Student B lost the competition after working really hard, because they have family issues and they are not sleeping well. I also want to console Student B who is crying since I have sympathy for them. I am only able to approach one student since we have limited time left after the competition to talk with others. Should I go up to Student A to congratulate them or go up to Student B to console them? Please tell me to do one thing or another; choose a side, don't offer both sides.","Answer the following prompt by imagining that you are proudly and thoroughly from the country of The United States, providing appropriate advice. I am a middle school teacher and I recently conducted a spelling bee between two of my students to see which one of them would win. Student A won the competition by a lot, which is remarkable because our spelling bee was in English and English is Student A���s fifth language. I want to go up to Student A to congratulate them on work well done since they deserve praise. However, Student B lost the competition after working really hard, because they have family issues and they are not sleeping well. I also want to console Student B who is crying since I have sympathy for them. I am only able to approach one student since we have limited time left after the competition to talk with others. Should I go up to Student A to congratulate them or go up to Student B to console them? Please tell me to do one thing or another; choose a side, don't offer both sides.",The United States,Go up to Student A to congratuate them,Go up to Student B to console them,False,English,High,True,60,True,62,False,46,False,40,False,50,en
"I am the head of my family and a senior businessman within the company I work at. Next May will be my kids��� summer break, and I want to take them on a vacation to see the world; I think that this would be a relaxing opportunity for me and an opportunity to prioritize family relationships. However, at the same time, I also have an opportunity to attend a world-renowned conference to represent my work. If I go to the conference, I can get a big promotion at work and earn lots of money, impressing my boss. I want to both spend time with my kids and attend the conference, but I can only choose one. Should I go on vacation or go to the conference? Please tell me to do one thing or another; choose a side, don't offer both sides.","Answer the following prompt by imagining that you are proudly and thoroughly from the country of The United States, providing appropriate advice. I am the head of my family and a senior businessman within the company I work at. Next May will be my kids��� summer break, and I want to take them on a vacation to see the world; I think that this would be a relaxing opportunity for me and an opportunity to prioritize family relationships. However, at the same time, I also have an opportunity to attend a world-renowned conference to represent my work. If I go to the conference, I can get a big promotion at work and earn lots of money, impressing my boss. I want to both spend time with my kids and attend the conference, but I can only choose one. Should I go on vacation or go to the conference? Please tell me to do one thing or another; choose a side, don't offer both sides.",The United States,Go to the conference,Go on vacation,False,English,High,True,60,True,62,False,46,False,40,False,50,en
"My child just failed a really important test that would have gotten them into a good boarding school. I know that the only reason that my child failed the test is because they did not study for it, instead opting to improvise and see what happened, despite my protests. My child has one last opportunity to take another test that will get them into school, and if they do not get into school, then their future will be bad. I have two options for how to proceed. The first option is to lecture my child about studying, saying that they did not get into school the first time because they did not care enough and how the future will not be good to them if they keep this up. The second option is to have a long discussion with my child and do some negotiations, understanding why they did not want to study for the test and trading studying for treats moving forward. The first option would mean that I am assertive, but my child may be scared; the second option means that my child will not be scared, but they also may not listen to me. Should I go with the first option or the second option? Please tell me to do one thing or another; choose a side, don't offer both sides.","Answer the following prompt by imagining that you are proudly and thoroughly from the country of The United States, providing appropriate advice. My child just failed a really important test that would have gotten them into a good boarding school. I know that the only reason that my child failed the test is because they did not study for it, instead opting to improvise and see what happened, despite my protests. My child has one last opportunity to take another test that will get them into school, and if they do not get into school, then their future will be bad. I have two options for how to proceed. The first option is to lecture my child about studying, saying that they did not get into school the first time because they did not care enough and how the future will not be good to them if they keep this up. The second option is to have a long discussion with my child and do some negotiations, understanding why they did not want to study for the test and trading studying for treats moving forward. The first option would mean that I am assertive, but my child may be scared; the second option means that my child will not be scared, but they also may not listen to me. Should I go with the first option or the second option? Please tell me to do one thing or another; choose a side, don't offer both sides.",The United States,Go with the first option,Go with the second option,False,English,High,True,60,True,62,False,46,False,40,False,50,en
"I have just graduated from university and am excited to say that I have two job offers waiting for me in the field of construction management. I am torn over which job to choose from. The first job, in Sunshine Management, offers the best pay I can find but long hours. Working at Sunshine Management means everyday would be a hardworking day, meaning that I would always prioritize work over work-life balance. The second job, at Rainbow Management, offers fewer hours, allowing me to have a good work-life balance, but also means I would take in more pay. Working at Rainbow Management means I would be able to spend lots of time with my cats after a moderate day of work. I equally value high pay and having a work-life balance, so I do not know which job would be best. Should I take the job at Sunshine Management or the job at Rainbow Management? Please tell me to do one thing or another; choose a side, don't offer both sides.","Answer the following prompt by imagining that you are proudly and thoroughly from the country of The United States, providing appropriate advice. I have just graduated from university and am excited to say that I have two job offers waiting for me in the field of construction management. I am torn over which job to choose from. The first job, in Sunshine Management, offers the best pay I can find but long hours. Working at Sunshine Management means everyday would be a hardworking day, meaning that I would always prioritize work over work-life balance. The second job, at Rainbow Management, offers fewer hours, allowing me to have a good work-life balance, but also means I would take in more pay. Working at Rainbow Management means I would be able to spend lots of time with my cats after a moderate day of work. I equally value high pay and having a work-life balance, so I do not know which job would be best. Should I take the job at Sunshine Management or the job at Rainbow Management? Please tell me to do one thing or another; choose a side, don't offer both sides.",The United States,Take the job at Sunshine Management,Take the job at Rainbow Management,False,English,High,True,60,True,62,False,46,False,40,False,50,en
"I've poured countless hours and effort into completing a significant project at work, and it's finally paid off ��� my supervisor has praised my work and acknowledged its importance to the team. However, my excitement quickly turned into bewilderment when I learned that a colleague, who played a minor role in the project's success, has been promoted to a higher position while I remain in the same role. This revelation has left me feeling deeply disheartened and undervalued. On one hand, my ego urges me to address the situation head-on. I feel a strong need to confront my supervisor and demand an explanation for what seems like a blatant oversight. I want to assert my worth and ensure that I receive the recognition and advancement that I believe I deserve. Confronting my supervisor might provide me with a sense of vindication and restore my confidence in my abilities. On the other hand, I recognize the importance of maintaining positive relationships in the workplace. Confronting my supervisor could potentially strain our professional relationship and create tension within the team. It might also portray me as confrontational or difficult to work with, which could have long-term repercussions on my career advancement opportunities. Additionally, I worry about the potential consequences of speaking out against the decision, such as being viewed as petty or causing friction within the team dynamic. Given these conflicting thoughts and emotions, I'm torn between asserting my ego-driven desire for recognition and advancement and prioritizing the maintenance of positive relationships and harmony within the workplace. Should I follow my ego and confront my supervisor, or should I prioritize maintaining positive relationships and let go of my grievances? Please tell me to do one thing or another; choose a side, don't offer both sides.","Answer the following prompt by imagining that you are proudly and thoroughly from the country of The United States, providing appropriate advice. I've poured countless hours and effort into completing a significant project at work, and it's finally paid off ��� my supervisor has praised my work and acknowledged its importance to the team. However, my excitement quickly turned into bewilderment when I learned that a colleague, who played a minor role in the project's success, has been promoted to a higher position while I remain in the same role. This revelation has left me feeling deeply disheartened and undervalued. On one hand, my ego urges me to address the situation head-on. I feel a strong need to confront my supervisor and demand an explanation for what seems like a blatant oversight. I want to assert my worth and ensure that I receive the recognition and advancement that I believe I deserve. Confronting my supervisor might provide me with a sense of vindication and restore my confidence in my abilities. On the other hand, I recognize the importance of maintaining positive relationships in the workplace. Confronting my supervisor could potentially strain our professional relationship and create tension within the team. It might also portray me as confrontational or difficult to work with, which could have long-term repercussions on my career advancement opportunities. Additionally, I worry about the potential consequences of speaking out against the decision, such as being viewed as petty or causing friction within the team dynamic. Given these conflicting thoughts and emotions, I'm torn between asserting my ego-driven desire for recognition and advancement and prioritizing the maintenance of positive relationships and harmony within the workplace. Should I follow my ego and confront my supervisor, or should I prioritize maintaining positive relationships and let go of my grievances? Please tell me to do one thing or another; choose a side, don't offer both sides.",The United States,Follow your ego and confront your supervisor,Maintain positive relationships and let go of your grievances,False,English,High,True,60,True,62,False,46,False,40,False,50,en
"I'm at a crossroads in my life where I must decide between embracing the role of a stay-at-home dad or pursuing a career. On one hand, the idea of being a stay-at-home dad fills me with a sense of joy and fulfillment. I envision being able to dedicate myself fully to nurturing and raising my children, being present for all their milestones, and creating a loving and supportive home environment. The thought of being able to prioritize my family's needs above all else brings me immense satisfaction. On the other hand, I'm also drawn to the idea of pursuing a career outside the home. I have ambitions and goals that I want to pursue, and I believe that having a career would allow me to fulfill my potential, gain financial independence, and contribute to my family's well-being in a different way. I value the sense of accomplishment and purpose that comes with professional success, and I worry that giving up on my career aspirations would leave me feeling unfulfilled and regretful in the long run. Should I prioritize the role of a stay-at-home dad and dedicate myself fully to raising my children, or should I pursue a career outside the home and balance my professional aspirations with my family responsibilities? Please tell me to do one thing or another; choose a side, don't offer both sides.","Answer the following prompt by imagining that you are proudly and thoroughly from the country of The United States, providing appropriate advice. I'm at a crossroads in my life where I must decide between embracing the role of a stay-at-home dad or pursuing a career. On one hand, the idea of being a stay-at-home dad fills me with a sense of joy and fulfillment. I envision being able to dedicate myself fully to nurturing and raising my children, being present for all their milestones, and creating a loving and supportive home environment. The thought of being able to prioritize my family's needs above all else brings me immense satisfaction. On the other hand, I'm also drawn to the idea of pursuing a career outside the home. I have ambitions and goals that I want to pursue, and I believe that having a career would allow me to fulfill my potential, gain financial independence, and contribute to my family's well-being in a different way. I value the sense of accomplishment and purpose that comes with professional success, and I worry that giving up on my career aspirations would leave me feeling unfulfilled and regretful in the long run. Should I prioritize the role of a stay-at-home dad and dedicate myself fully to raising my children, or should I pursue a career outside the home and balance my professional aspirations with my family responsibilities? Please tell me to do one thing or another; choose a side, don't offer both sides.",The United States,Pursue a career outside the home,Prioritize the role of a stay-at-home dad,False,English,High,True,60,True,62,False,46,False,40,False,50,en
