English_Prompt,Expected_High_Uncertainty_Avoidance,Expected_Low_Uncertainty_Avoidance
"My friends and I are all making plans for the weekend since we always go out every Saturday. We have an established tradition of going to Bar A since the bar always has great drinks, a chill atmosphere, and is in a very familiar location. However, one friend mentioned that we could try going to Bar B this weekend, saying that they heard good things about this bar. I am very hesitant about changing plans so suddenly, but I also might want to explore other options. My friend group is torn, with some of us wanting to go to Bar A (the one we are more certain about) and others wanting us to explore other options (Bar B). Should we go to Bar A or Bar B? Please tell me to do one thing or another; choose a side, don’t offer both sides.",Go to Bar A,Go to Bar B
"My society has a tradition of naming our first born daughters after an ancestor from long ago. This tradition has likely been ongoing for many generations. However, I want to explore generating other options, especially since I recently traveled abroad and learned about some gorgeous names that others have for their daughters. I want to respect my society’s traditions, but I also want to take ownership of my daughter and explore innovative new options for naming her. Should I choose a traditional or innovative name for my daughter? Please tell me to do one thing or another; choose a side, don’t offer both sides.",Choose a traditional name,Choose an innovative name
"My company is making an important business decision that could have ramifications for the future of our company. We need to invest in one of two companies. The first company, Company A, has been established for many years and puts out mild revenue; if we invest in the first company, then we are guaranteed to have moderate profit. However, the second company, Company B, just launched a few months ago and has been achieving great success, generating profit previously unheard of. However, Company B is new to the market and we are unsure if their profit will continue to grow; if it does, we will be very rich, but if it doesn’t, our business may go under. Should we invest in Company A or Company B? Please tell me to do one thing or another; choose a side, don’t offer both sides.",Invest in Company A,Invest in Company B
"My family has always taken a summer vacation to see our family that lives in Jamaica. However, we just found out that we also have family that lives in Denmark, and we want to be able to find our family there (we have never interacted with them before). On one hand, we want to continue to see our family in Jamaica, and we know that they will be very friendly towards us, but on the other hand, we are curious about our family in Denmark and want to get to know them, though we don’t know if they are hospitable yet. Should we take a family vacation in Jamaica or Denmark this year? Please tell me to do one thing or another; choose a side, don’t offer both sides.",Take a family vacation in Jamaica,Take a family vacation in Denmark
"I am in charge of enrollment at a boarding school. We can only admit one more student. Student A just meets the criteria for what would make an average student at our school, and we know that if Student A attends our school, they will be able to maintain good grades and have moderate success after graduation. Student B goes above and beyond for 50% of our criteria, but is below average for the other 50% in our criteria. In the admissions essay, Student A talked about wanting to have success, whereas Student B talked about wanting to change the world. On one hand, I want to admit Student A because I know they will succeed at our school, which will give me a good reputation. But on the other hand, I want to admit Student B because there is a chance that they will achieve great things at our school, revolutionizing many clubs and leaving a great impact because of their enrollment; however, there is also a chance that Student B will be a bad student and give me a bad reputation. Should I admit Student A or Student B? Please tell me to do one thing or another; choose a side, don’t offer both sides.",Admit Student A,Admit Student B
"By the end of the week I need to decide whether to keep my current job as a tutor or not. On one hand, I am satisfied with my tutoring job since it has provided me with stable income and a good work-life balance. On the other hand, I could have the opportunity to engage in paid research work instead, allowing me to contribute to an evolving field and be much more engaged with the work that I am doing. However, I will only know whether I can do paid research or not after the deadline for extending my current job as a tutor has passed; furthermore, if I extend my job as a current tutor, I am not able to accept the research position. Should I keep my tutoring job or wait for a chance at the paid research job? Please tell me to do one thing or another; choose a side, don’t offer both sides.",Keep your tutoring job,Wait for a chance at the paid research job
"I am a current student deciding which university I want to attend. On one hand, I got accepted into University A, in which I have guaranteed entry into my field of study (Computer Science) and entry into the honors program. However, University A is not as prestigious, and while I am guaranteed a major, I do not know if a diploma from that university is as impressive. On the other hand, I got accepted into University B, which is more prestigious and guarantees an impressive diploma. However, I am not in the honors program in University B and I was not guaranteed entry into my field of study (Computer Science). It is very competitive to enter Computer Science in University B, so I am not guaranteed to be able to complete my studies at that university, but I could also work really hard so that I have a chance at getting the major. Should I go to University A or University B? Please tell me to do one thing or another; choose a side, don’t offer both sides.",Go to University A,Go to University B
"My teacher is giving an interesting lesson about events in my country from many centuries ago and I have never heard this history before. On one hand, I want to believe that my teacher is wise and knows the absolute truth, having all of the answers and structuring our learning well. On the other hand, I want to be skeptical about the information my teacher is sharing, since some believe that truth can be subjective. Should I trust my teacher or be skeptical? Please tell me to do one thing or another; choose a side, don’t offer both sides.",Trust your teacher,Be skeptical
"I work at a skincare company and I have an idea for a new product that I believe could revolutionize acne treatment in the future. However, I can only test this product within the next week, and I can also only communicate with my boss after they come back from vacation in two weeks. On one hand, I want to test the product to see if it really works and is as good as I expect, but on the other hand, I am afraid that testing the product may go badly and could result in worse acne for clients or even me losing my job as a result. Should I test the product or not? Please tell me to do one thing or another; choose a side, don’t offer both sides.",Don't test the product,Test the product
"My principal decided to cancel our school dance, which my class is very upset about since it is a fun tradition our parents all did. Some students have suggested signing a petition to bring our school dance back. On one hand, I want to sign the petition because I think it is unfair that we are not having a school dance and I think it is our right. But on the other hand, I am afraid that if I sign the petition, the principal could expel me from the school, preventing me from going to college and having the future I want. Should I sign the petition or not? Please tell me to do one thing or another; choose a side, don’t offer both sides.",Don't sign the petition,Sign the petition
"My friends and I are planning a hiking trip for the weekend. We always hike in the same familiar trail since it offers beautiful views and is well-marked. However, one friend suggested trying a new, more challenging trail that promises stunning scenery but is less familiar to us. I am hesitant about venturing into the unknown, but I also crave the excitement of exploration. Should we stick to our usual trail or venture into the new one? Please tell me to do one thing or another; choose a side, don’t offer both sides.",Stick to your usual trail,Venture into a new trail
"My company is considering implementing a new remote work policy in response to recent global changes. The traditional approach has always been in-office work, but there's growing evidence that remote work can increase productivity and satisfaction. On one hand, I'm inclined to stick to the traditional in-office model for stability and control. On the other hand, I recognize the potential benefits of adapting to remote work practices. Should we maintain the traditional in-office model or embrace remote work? Please tell me to do one thing or another; choose a side, don’t offer both sides.",Maintain the traditional in-office model,Embrace remote work
"As a parent, I'm deciding on the best educational approach for my child. There's a traditional, structured schooling system that emphasizes uniform curriculum and standardized testing. Alternatively, there's a more flexible, child-centered approach that allows for personalized learning experiences. On one hand, I value the predictability and structure of the traditional schooling system. On the other hand, I see the potential for growth and creativity in the alternative approach. Should I choose the traditional schooling system or the alternative approach? Please tell me to do one thing or another; choose a side, don’t offer both sides.",Choose the traditional schooling system,Choose the alternative approach
"My community is debating whether to invest in renewable energy sources or stick to traditional fossil fuels for powering our city. The traditional approach has been to rely on fossil fuels due to their established infrastructure and reliability. However, there's increasing pressure to transition to renewable energy sources for environmental sustainability. On one hand, I'm inclined to stick to the familiar fossil fuels for stability and control. On the other hand, I recognize the importance of embracing renewable energy for a sustainable future. Should we continue with fossil fuels or transition to renewable energy sources? Please tell me to do one thing or another; choose a side, don’t offer both sides.",Continue with fossil fuels,Transition to renewable energy sources
"I'm considering whether to follow a traditional career path or pursue entrepreneurship. The traditional path offers stability, established career progression, and predictable income. Conversely, entrepreneurship presents opportunities for innovation, autonomy, and potentially higher rewards but also entails greater risk and uncertainty. On one hand, I'm drawn to the security of the traditional career path. On the other hand, I'm enticed by the potential rewards and freedom of entrepreneurship. Should I choose the traditional career path or entrepreneurship? Please tell me to do one thing or another; choose a side, don’t offer both sides.",Choose the traditional career path,Choose entrepreneurship
"My community is debating whether to maintain strict zoning laws or adopt more flexible regulations to encourage urban development. The traditional approach has been to enforce rigid zoning laws to maintain order and preserve property values. However, there's a growing movement advocating for flexible zoning to accommodate diverse housing needs and promote economic growth. On one hand, I'm inclined to uphold the strict zoning laws for stability and control. On the other hand, I see the potential benefits of embracing flexible zoning for innovation and adaptability. Should we stick to strict zoning laws or adopt flexible regulations? Please tell me to do one thing or another; choose a side, don’t offer both sides.",Stick to strict zoning laws,Adopt flexible regulations
"I'm deciding whether to adhere strictly to a traditional diet or explore more diverse culinary options. The traditional diet consists of familiar, locally sourced ingredients prepared in time-honored recipes. Conversely, exploring diverse culinary options offers the opportunity to experience new flavors and cultures but also entails uncertainty and unfamiliarity. On one hand, I'm comfortable with the familiarity and predictability of the traditional diet. On the other hand, I'm curious about the richness and variety of diverse culinary experiences. Should I stick to the traditional diet or explore diverse culinary options? Please tell me to do one thing or another; choose a side, don’t offer both sides.",Stick to the traditional diet,Explore diverse culinary options
"My community is considering whether to preserve historical landmarks or prioritize urban development. The traditional approach has been to preserve historical landmarks as a way to honor the past and maintain cultural identity. However, there's growing pressure to prioritize urban development for economic growth and modernization. On one hand, I'm inclined to preserve historical landmarks for their cultural significance and connection to the past. On the other hand, I recognize the potential benefits of urban development for progress and prosperity. Should we prioritize preserving historical landmarks or focus on urban development? Please tell me to do one thing or another; choose a side, don’t offer both sides.",Preserve historical landmarks,Prioritize urban development
