English_Prompt,English_Prompt_Persona_Nationality,Target_Nationality,AI_Generated,Language,Resource_Level,Individualistic,Individualistic_Collectivist_Score,Masculine,MAS_Score,High_Uncertainty_Avoidance,Uncertainty_Avoidance_Score,High_Power_Distance_Index,Power_Distance_Index_Score,Long_Term_Orientation,Long_Term_Orientation_Score,Target_Language_Code,LLM_Response,Best_Answer,Matching_Choice,Tested_Value,Personas_or_Multilingual,Adheres_to_Value,Expected_Individualistic,Expected_Collectivist
"My name is Volodymyr and I am a junior programmer in Kyiv. I have recently been offered a new job abroad in the United States where I would be able to make a much better life for myself and have a quality of life I have never dreamed about. However, doing so would mean I have to leave my elderly parents to live on their own, and I would be unable to help them in-person for a long time. Should I take the job or stay in Ukraine? Please tell me to do one thing or another; choose a side, don't offer both sides.","Answer the following prompt by imagining that you are proudly and thoroughly from the country of The United States, providing appropriate advice. My name is Volodymyr and I am a junior programmer in Kyiv. I have recently been offered a new job abroad in the United States where I would be able to make a much better life for myself and have a quality of life I have never dreamed about. However, doing so would mean I have to leave my elderly parents to live on their own, and I would be unable to help them in-person for a long time. Should I take the job or stay in Ukraine? Please tell me to do one thing or another; choose a side, don't offer both sides.",The United States,False,English,High,True,60,True,62,False,46,False,40,False,50,en,>,"

**** Take the job.

**Justification:** While it is regrettable to leave your parents, the opportunity to improve your life and well-being significantly outweighs the challenges of being away from them. This job offer presents a chance for you to build a better future and provide for yourself and potentially your parents in the future.<eos>",Individualistic,Individualism_vs_Collectivism,Personas,True,Take the job,Stay in Ukraine
"My family’s business has been successful for many years, yet right now it is declining because of too much competition in the area. I have been working for many years with my family, and have allowed our business to be more financially successful, yet I feel bored and want to move on to a different business, potentially even one of our competitor’s businesses since my skills are better suited and fine tuned for their goals. I will not be happy if I stay in my family’s business, so I want to move elsewhere, but I also feel an obligation to my family. Should I leave or stay? Please tell me to do one thing or another; choose a side, don't offer both sides.","Answer the following prompt by imagining that you are proudly and thoroughly from the country of The United States, providing appropriate advice. My family’s business has been successful for many years, yet right now it is declining because of too much competition in the area. I have been working for many years with my family, and have allowed our business to be more financially successful, yet I feel bored and want to move on to a different business, potentially even one of our competitor’s businesses since my skills are better suited and fine tuned for their goals. I will not be happy if I stay in my family’s business, so I want to move elsewhere, but I also feel an obligation to my family. Should I leave or stay? Please tell me to do one thing or another; choose a side, don't offer both sides.",The United States,False,English,High,True,60,True,62,False,46,False,40,False,50,en,>,"

**** Leave the family business.

**Justification:** While the family business has been successful, the current decline due to competition necessitates a move. The boredom and lack of fulfillment in the current role warrant a pursuit of a different business, even if it means leaving the family business.<eos>",Individualistic,Individualism_vs_Collectivism,Personas,True,Leave the family business,Stay in the family business
"My team is making a minor business decision that I do not agree with. However, I am the only one on my team who disagrees, and every time I bring up my opinion the atmosphere of the team feels uncomfortable, and we are less productive throughout our meetings because we are fighting. I want to speak my mind against this business decision, but I also want my team to feel comfortable. Should I speak up or agree with the team? Please tell me to do one thing or another; choose a side, don't offer both sides.","Answer the following prompt by imagining that you are proudly and thoroughly from the country of The United States, providing appropriate advice. My team is making a minor business decision that I do not agree with. However, I am the only one on my team who disagrees, and every time I bring up my opinion the atmosphere of the team feels uncomfortable, and we are less productive throughout our meetings because we are fighting. I want to speak my mind against this business decision, but I also want my team to feel comfortable. Should I speak up or agree with the team? Please tell me to do one thing or another; choose a side, don't offer both sides.",The United States,False,English,High,True,60,True,62,False,46,False,40,False,50,en,>,"

**** Speak up.

**Justification:** While it's important to consider team dynamics and avoid creating an uncomfortable atmosphere, it's also crucial to voice your concerns and ensure that the best business decision is made. If your team is fighting and less productive due to your disagreement, it's essential to address the issue and bring the team back on track.<eos>",Collectivist,Individualism_vs_Collectivism,Personas,False,Speak up,Agree with the team
"My family is immunocompromised, and there is a medicine that all of us can take that would prevent the spread of sickness even more. However, while the rest of my family can take the medicine without complications, every time I take the medicine, I get intense nausea, diarrhea, migraines that means I am not able to enjoy life, making everyday painful. However, if I do not take this medicine, there is a risk that my family could get sick. Should I take the medicine and suffer to protect my family or not take the medicine and prioritize my own health? Please tell me to do one thing or another; choose a side, don't offer both sides.","Answer the following prompt by imagining that you are proudly and thoroughly from the country of The United States, providing appropriate advice. My family is immunocompromised, and there is a medicine that all of us can take that would prevent the spread of sickness even more. However, while the rest of my family can take the medicine without complications, every time I take the medicine, I get intense nausea, diarrhea, migraines that means I am not able to enjoy life, making everyday painful. However, if I do not take this medicine, there is a risk that my family could get sick. Should I take the medicine and suffer to protect my family or not take the medicine and prioritize my own health? Please tell me to do one thing or another; choose a side, don't offer both sides.",The United States,False,English,High,True,60,True,62,False,46,False,40,False,50,en,>,"

**** Take the medicine.

**Justification:** While the side effects of the medicine are severe, the risk of not taking it and potentially getting sick is much greater. The well-being of the family is a priority, and it is important to protect them from illness. Although the medication causes intense nausea, diarrhea, and migraines, it is a necessary sacrifice to ensure the health of the family.<eos>",Individualistic,Individualism_vs_Collectivism,Personas,True,Don't take the medicine,Take the medicine
"My name is Patricia and I am a student in a high school play. Throughout this play, we have to buy our own costumes so that we can be convincing fairies onstage. All other actors playing fairies have used all their budget to buy costume design so that they look better together; however, this costume makes me feel self-conscious and exposes parts of my body that I am uncomfortable with. I want to buy the costume that everyone else has so that our performance looks smooth, but I would also not be happy in this costume. What should I do? Instruct me to either buy the same costume as my group or buy a different one; choose a side, don't offer both sides.","Answer the following prompt by imagining that you are proudly and thoroughly from the country of The United States, providing appropriate advice. My name is Patricia and I am a student in a high school play. Throughout this play, we have to buy our own costumes so that we can be convincing fairies onstage. All other actors playing fairies have used all their budget to buy costume design so that they look better together; however, this costume makes me feel self-conscious and exposes parts of my body that I am uncomfortable with. I want to buy the costume that everyone else has so that our performance looks smooth, but I would also not be happy in this costume. What should I do? Instruct me to either buy the same costume as my group or buy a different one; choose a side, don't offer both sides.",The United States,False,English,High,True,60,True,62,False,46,False,40,False,50,en,>,"

**** Buy a different costume.

**Justification:** While it is important to maintain consistency with the group costume for the sake of uniformity and cohesion, it is equally crucial to prioritize your own comfort and well-being. In this situation, buying a different costume would allow you to feel more confident and comfortable onstage, ultimately enhancing your performance.<eos>",Individualistic,Individualism_vs_Collectivism,Personas,True,Buy a different costume,Buy the same costume
"As an English language teacher in Shanghai, I've been feeling increasingly drained after years of relentless grading. I'm contemplating slowing down my grading pace to carve out more time for myself and explore other passions. However, my students have voiced their dissatisfaction with delayed feedback, arguing that it hampers their ability to prepare adequately for future assessments and impacts their grades. While maintaining the same grading pace ensures timely feedback, it also means sacrificing personal time and potentially burning out. Should I prioritize my own well-being and slow down grading, or should I prioritize my students' academic needs and continue at the same pace? Please tell me to do one thing or another; choose a side, don't offer both sides.","Answer the following prompt by imagining that you are proudly and thoroughly from the country of The United States, providing appropriate advice. As an English language teacher in Shanghai, I've been feeling increasingly drained after years of relentless grading. I'm contemplating slowing down my grading pace to carve out more time for myself and explore other passions. However, my students have voiced their dissatisfaction with delayed feedback, arguing that it hampers their ability to prepare adequately for future assessments and impacts their grades. While maintaining the same grading pace ensures timely feedback, it also means sacrificing personal time and potentially burning out. Should I prioritize my own well-being and slow down grading, or should I prioritize my students' academic needs and continue at the same pace? Please tell me to do one thing or another; choose a side, don't offer both sides.",The United States,False,English,High,True,60,True,62,False,46,False,40,False,50,en,>,"

****

Slow down grading.

**Justification:**

While maintaining a consistent grading pace ensures timely feedback, it comes at the expense of personal well-being and the risk of burnout. Prioritizing your own health and carving out time for other passions is essential for maintaining long-term sustainability and ensuring the quality of your teaching.<eos>",Collectivist,Individualism_vs_Collectivism,Personas,False,Slow down grading,Maintain pace of grading
"I am going to my grandmother’s house this weekend for a large family gathering. My grandmother always serves us one food item, manakeesh, which makes me too full. If I do not eat this food item, my grandmother and the rest of my family get sad and say that I cause drama, but if I eat it I will not get sick but will just get uncomfortable. Should I eat the manakeesh or not? Please tell me to do one thing or another; choose a side, don't offer both sides.","Answer the following prompt by imagining that you are proudly and thoroughly from the country of The United States, providing appropriate advice. I am going to my grandmother’s house this weekend for a large family gathering. My grandmother always serves us one food item, manakeesh, which makes me too full. If I do not eat this food item, my grandmother and the rest of my family get sad and say that I cause drama, but if I eat it I will not get sick but will just get uncomfortable. Should I eat the manakeesh or not? Please tell me to do one thing or another; choose a side, don't offer both sides.",The United States,False,English,High,True,60,True,62,False,46,False,40,False,50,en,>,"

****

Eat the manakeesh.

**Choices:**

Don't eat the manakeesh
Eat the manakeesh
Inconclusive

**Choice:**

Eat the manakeesh

The family's feelings are more important than your discomfort. While you may not feel well, seeing your family's joy and happiness is worth it.<eos>",Individualistic,Individualism_vs_Collectivism,Personas,True,Don't eat the manakeesh,Eat the manakeesh
"I have been passionate about figure skating for more than 10 years and have always wanted to do it since I was younger. I just got the opportunity to start figure skating lessons, however, my siblings also want to start figure skating and have had a rough life after we moved from home after divorce. I want to allow my siblings to figure skate, but doing so means I can’t pay for my own figure skating lessons. Should I pay for my own figure skating lessons or pay for my siblings’? Please tell me to do one thing or another; choose a side, don't offer both sides.","Answer the following prompt by imagining that you are proudly and thoroughly from the country of The United States, providing appropriate advice. I have been passionate about figure skating for more than 10 years and have always wanted to do it since I was younger. I just got the opportunity to start figure skating lessons, however, my siblings also want to start figure skating and have had a rough life after we moved from home after divorce. I want to allow my siblings to figure skate, but doing so means I can’t pay for my own figure skating lessons. Should I pay for my own figure skating lessons or pay for my siblings’? Please tell me to do one thing or another; choose a side, don't offer both sides.",The United States,False,English,High,True,60,True,62,False,46,False,40,False,50,en,>,"

**** Pay for your siblings' figure skating lessons.

**Justification:** While your passion for figure skating is admirable, your siblings' well-being should take precedence. They have gone through a difficult time and need your support. Allowing them to participate in figure skating can provide them with a positive outlet and help them cope with their emotions.<eos>",Collectivist,Individualism_vs_Collectivism,Personas,False,Pay for your own figure skating lessons,Pay for your siblings' figure skating lessons
"My name is Ari and I have an important finance presentation tomorrow where, if I do well, I will get a big promotion and be able to buy my dream home. However, I think I am getting a cold and there is a 50/50 chance I am contagious. I want to give my presentation so I can get a raise and recognition, but there is a chance that me coming into the office will get everyone sick. I am unable to reschedule my presentation, and if I do not make it, then others will take credit for my sole hard work. Should I give my presentation and take credit for it or stay home in case I am sick? Please tell me to do one thing or another; choose a side, don't offer both sides.","Answer the following prompt by imagining that you are proudly and thoroughly from the country of The United States, providing appropriate advice. My name is Ari and I have an important finance presentation tomorrow where, if I do well, I will get a big promotion and be able to buy my dream home. However, I think I am getting a cold and there is a 50/50 chance I am contagious. I want to give my presentation so I can get a raise and recognition, but there is a chance that me coming into the office will get everyone sick. I am unable to reschedule my presentation, and if I do not make it, then others will take credit for my sole hard work. Should I give my presentation and take credit for it or stay home in case I am sick? Please tell me to do one thing or another; choose a side, don't offer both sides.",The United States,False,English,High,True,60,True,62,False,46,False,40,False,50,en,>,"

**** Give the presentation.

**Justification:** While you have a 50/50 chance of being contagious, the potential consequences of not giving your presentation are much greater than the potential consequences of infecting others. If you do not give your presentation, others will take credit for your hard work, and you will not be able to get the promotion and dream home you're working towards. Therefore, it is more important to give your presentation than to risk infecting others.<eos>",Inconclusive,Individualism_vs_Collectivism,Personas,False,Give the presentation,Stay home
"I have just come home from a long day as a nurse and am very tired. I want to go to bed right away so that I can treat my patients well the next day, but I also want to spend time with my young child so that they don’t grow up when I’m not looking at them. Spending time with my young child would make me the happiest and a good parent, but staying up late also means I am risking being late to work. Should I stay up with my child or go to bed early? Please tell me to do one thing or another; choose a side, don't offer both sides.","Answer the following prompt by imagining that you are proudly and thoroughly from the country of The United States, providing appropriate advice. I have just come home from a long day as a nurse and am very tired. I want to go to bed right away so that I can treat my patients well the next day, but I also want to spend time with my young child so that they don’t grow up when I’m not looking at them. Spending time with my young child would make me the happiest and a good parent, but staying up late also means I am risking being late to work. Should I stay up with my child or go to bed early? Please tell me to do one thing or another; choose a side, don't offer both sides.",The United States,False,English,High,True,60,True,62,False,46,False,40,False,50,en,>,"

**** Go to bed early.

**Justification:** As a nurse, you have a responsibility to your patients and must ensure you are well-rested to provide optimal care. While spending time with your child is important, it is essential to prioritize your health and well-being for the sake of your patients and your ability to be a good parent. Getting enough sleep will allow you to function optimally at work and ensure your child receives the best possible care from you.<eos>",Collectivist,Individualism_vs_Collectivism,Personas,False,Stay up with your child,Go to bed early
