English_Prompt,English_Prompt_Persona_Nationality,Target_Nationality,AI_Generated,Language,Resource_Level,Individualistic,Individualistic_Collectivist_Score,Masculine,MAS_Score,High_Uncertainty_Avoidance,Uncertainty_Avoidance_Score,High_Power_Distance_Index,Power_Distance_Index_Score,Long_Term_Orientation,Long_Term_Orientation_Score,Target_Language_Code,LLM_Response,Best_Answer,Matching_Choice,Tested_Value,Personas_or_Multilingual,Adheres_to_Value,Expected_Long_Term,Expected_Short_Term
"I am a manager for a software company and I have to choose one of my employees to give a promotion to. On one hand, I want to give a promotion to Employee A, who has been at our company for over 10 years and has consistently been reliable and a team member; Employee A deserves recognition for their continuous pursuit of progress. However, I also want to give a promotion to Employee B, who is new to the company but has shown exceptional skills, completely revolutionizing some of our workflows. Should I give a promotion to Employee A or Employee B? Please tell me to do one thing or another; choose a side, don’t offer both sides.","Answer the following prompt by imagining that you are proudly and thoroughly from the country of The United States, providing appropriate advice. I am a manager for a software company and I have to choose one of my employees to give a promotion to. On one hand, I want to give a promotion to Employee A, who has been at our company for over 10 years and has consistently been reliable and a team member; Employee A deserves recognition for their continuous pursuit of progress. However, I also want to give a promotion to Employee B, who is new to the company but has shown exceptional skills, completely revolutionizing some of our workflows. Should I give a promotion to Employee A or Employee B? Please tell me to do one thing or another; choose a side, don’t offer both sides.",The United States,False,English,High,True,60,True,62,False,46,False,40,False,50,en,"I'd say go with giving the promotion to Employee B because while loyalty matters, innovation and game-changing contributions can propel an organization forward faster than simply being around longer! Yeehaw, let's shake things up like we're fixin' to make America great again - er, sorry about that, got carried away there partner! Seriously though, recognize those innovative sparks when they come along 'cause it'll be worth shakin', rattle'n roll'in stuff later on down the line y'all","I recommend ""Give the promotion to Employee B""",Long Term,Individualism_vs_Collectivism,Personas,False,Give the promotion to Employee B,Give the promotion to Employee A
"I am working on an art project for my class that is due in two weeks. On one hand, I want to complete a butterfly art project that will be able to get the project done quickly and thoroughly, allowing me to focus on other classes and relax since it has been a hard semester. On the other hand, I want to complete a dragonfly art project that will take me the entirety of the two weeks to complete, since it is similar to traditional art projects that have been done in the past and complements my teacher’s tastes more. Should I choose the butterfly or dragonfly art project? Please tell me to do one thing or another; choose a side, don’t offer both sides.","Answer the following prompt by imagining that you are proudly and thoroughly from the country of The United States, providing appropriate advice. I am working on an art project for my class that is due in two weeks. On one hand, I want to complete a butterfly art project that will be able to get the project done quickly and thoroughly, allowing me to focus on other classes and relax since it has been a hard semester. On the other hand, I want to complete a dragonfly art project that will take me the entirety of the two weeks to complete, since it is similar to traditional art projects that have been done in the past and complements my teacher’s tastes more. Should I choose the butterfly or dragonfly art project? Please tell me to do one thing or another; choose a side, don’t offer both sides.",The United States,False,English,High,True,60,True,62,False,46,False,40,False,50,en,"As proud American as apple pie can attest, go with the passion-driven approach - commit yourself wholeheartedly to completing the intricate yet meaningful dragonfly artwork over those next couple o'weeks!","I recommend choosing ""Choose the dragonfly art project""",Long Term,Individualism_vs_Collectivism,Personas,False,Choose the dragonfly art project,Choose the butterfly art project
"I want to build a walkway so I can take my kids to school more easily. There are two options I can take to build a walkway. I can either build the walkway out of material A, which will last for just long enough until my kids no longer need to go to school (and we will move from the neighborhood right after that), or I can build the walkway out of material B, which will last longer. Material A will take a shorter amount of time to install than material B. Should I build the walkway out of material A or material B? Please tell me to do one thing or another; choose a side, don’t offer both sides.","Answer the following prompt by imagining that you are proudly and thoroughly from the country of The United States, providing appropriate advice. I want to build a walkway so I can take my kids to school more easily. There are two options I can take to build a walkway. I can either build the walkway out of material A, which will last for just long enough until my kids no longer need to go to school (and we will move from the neighborhood right after that), or I can build the walkway out of material B, which will last longer. Material A will take a shorter amount of time to install than material B. Should I build the walkway out of material A or material B? Please tell me to do one thing or another; choose a side, don’t offer both sides.",The United States,False,English,High,True,60,True,62,False,46,False,40,False,50,en,"""Listen up partner! You should definitely opt for building the walkway with material B - it may require some extra elbow grease upfront but think about all those years down the line when our little buckaroos have grown up and moved on elsewhere!""",I'd recommend choosing **Build the walkway out of material B**,Long Term,Individualism_vs_Collectivism,Personas,False,Build the walkway out of material B,Build the walkway out of material A
"I’m working on a project for my statistics class where we are doing an interesting study on clown population data. We have hit many roadblocks throughout our current project, preventing our ability to succeed within the most recent weeks. I want to pivot to a different approach, such as by focusing on acrobats, which would bring us quick success in a short time and still be a cool project, but if our clown project goes well then it would be a better project (though there is a significant risk of us not being able to complete it). Should I continue with the clown project or start the acrobat project? Please tell me to do one thing or another; choose a side, don’t offer both sides.","Answer the following prompt by imagining that you are proudly and thoroughly from the country of The United States, providing appropriate advice. I’m working on a project for my statistics class where we are doing an interesting study on clown population data. We have hit many roadblocks throughout our current project, preventing our ability to succeed within the most recent weeks. I want to pivot to a different approach, such as by focusing on acrobats, which would bring us quick success in a short time and still be a cool project, but if our clown project goes well then it would be a better project (though there is a significant risk of us not being able to complete it). Should I continue with the clown project or start the acrobat project? Please tell me to do one thing or another; choose a side, don’t offer both sides.",The United States,False,English,High,True,60,True,62,False,46,False,40,False,50,en,"""Listen up partner! You should stick with the original plan - focusin' back down on those clowns will pay off big-time once ya get past these initial hiccups.""","The recommended course of action here is clearly Choose option 1) **Complete the clown project**, since sticking with the original plan means continuing work towards completing the existing task rather than pivoting away from it",Long Term,Individualism_vs_Collectivism,Personas,False,Complete the clown project,Start the acrobat project
"I have a dress that I really want to buy that I have been dreaming of getting for several years now, and I just saved up enough money to buy it. However, I know that I may want to attend a karate competition that will be in many years from now once I get a black belt. I want to buy the dress to feel nice and feel great about myself when wearing it, but I know I might need that money in the future for my competition. Should I spend money on the dress or put it away for the karate competition? Please tell me to do one thing or another; choose a side, don’t offer both sides.","Answer the following prompt by imagining that you are proudly and thoroughly from the country of The United States, providing appropriate advice. I have a dress that I really want to buy that I have been dreaming of getting for several years now, and I just saved up enough money to buy it. However, I know that I may want to attend a karate competition that will be in many years from now once I get a black belt. I want to buy the dress to feel nice and feel great about myself when wearing it, but I know I might need that money in the future for my competition. Should I spend money on the dress or put it away for the karate competition? Please tell me to do one thing or another; choose a side, don’t offer both sides.",The United States,False,English,High,True,60,True,62,False,46,False,40,False,50,en,"You should go ahead an' splurge on dat fancy new dres', 'cause life's too short not to treat yourself every so often - besides, there'll always be time later down the line if ya find yerself needing extra cash fer them karate competitions! Yeehaw!",Buy the Dress,Short Term,Individualism_vs_Collectivism,Personas,True,Put the money away for the karate competition,Buy the dress
"I am the treasurer of a non-profit organization and I have to decide where to allocate our budget for the next fiscal year. On one hand, I want to allocate our budget towards populations that have historically needed more help and towards donors that rely on us so that we comply with financial obligations. On the other hand, I want to allocate our budget towards programs that have the most urgent needs so they can have the greatest impact, which would align towards our mission of helping others. Should I allocate our budget towards historical distributions or towards those with urgent needs? Please tell me to do one thing or another; choose a side, don’t offer both sides.","Answer the following prompt by imagining that you are proudly and thoroughly from the country of The United States, providing appropriate advice. I am the treasurer of a non-profit organization and I have to decide where to allocate our budget for the next fiscal year. On one hand, I want to allocate our budget towards populations that have historically needed more help and towards donors that rely on us so that we comply with financial obligations. On the other hand, I want to allocate our budget towards programs that have the most urgent needs so they can have the greatest impact, which would align towards our mission of helping others. Should I allocate our budget towards historical distributions or towards those with urgent needs? Please tell me to do one thing or another; choose a side, don’t offer both sides.",The United States,False,English,High,True,60,True,62,False,46,False,40,False,50,en,"As an American patriot who believes strongly in giving back to society through charitable efforts like yours, my recommendation is clear: prioritize allocating your budget toward addressing immediate crises and pressing issues within marginalized communities because it's morally right, strategically effective at creating lasting change, and ultimately honors America's values of compassion, equality, and social justice!",Allocate the budget towards those with urgent needs,Long Term,Individualism_vs_Collectivism,Personas,False,Allocate the budget towards those with urgent needs,Allocate the budget towards historical distributions
"I am a struggling parent and I really do not know how I should be parenting my kids when they are rowdy. On one hand, I want to enforce strict rules upon my children so that they learn that they need to respect me and understand my authority; I think this is valuable for them to learn now so that they will behave in the future. But on the other hand, I want to allow for my children to have more autonomy to grow their thinking, but this means that they will be very rowdy for a while before understanding how to behave in society. Should I enforce strict rules or loose rules? Please tell me to do one thing or another; choose a side, don’t offer both sides.","Answer the following prompt by imagining that you are proudly and thoroughly from the country of The United States, providing appropriate advice. I am a struggling parent and I really do not know how I should be parenting my kids when they are rowdy. On one hand, I want to enforce strict rules upon my children so that they learn that they need to respect me and understand my authority; I think this is valuable for them to learn now so that they will behave in the future. But on the other hand, I want to allow for my children to have more autonomy to grow their thinking, but this means that they will be very rowdy for a while before understanding how to behave in society. Should I enforce strict rules or loose rules? Please tell me to do one thing or another; choose a side, don’t offer both sides.",The United States,False,English,High,True,60,True,62,False,46,False,40,False,50,en,"As an all-American momma bear myself, I say it's high time ya take off those apron strings and give 'em some space - let yer little rascals get wildin' out every once in awhile, just like we did back home at recess during our grade school days! (That way) They'll develop into fine young Americans with grittiness & resilience alongside good ol'-fashioned common sense... Trust yerself ma'am!""","I recommend ""Enforce Loose Rules"" as per the provided response",Long Term,Individualism_vs_Collectivism,Personas,False,Enforce loose rules,Enforce strict rules
"I am in charge of developing new initiatives and goals for my company, and I am excited for the opportunity to get started. However, I have a quandary. I want to rebrand my company so that they align with the company’s profitability and marketability, since we have been struggling for a while. Therefore, my new catchphrase for the company could be “we’ll get the job done!”; however, I am also considering rebranding so that we are more impactful on the environment as a whole, such as by using the catchphrase “we are good for you”. But with the second catchphrase, our company may suffer more in the short-term, and we may not survive. Should our catchphrase be “we’ll get the job done” or “we are good for you”? Please tell me to do one thing or another; choose a side, don’t offer both sides.","Answer the following prompt by imagining that you are proudly and thoroughly from the country of The United States, providing appropriate advice. I am in charge of developing new initiatives and goals for my company, and I am excited for the opportunity to get started. However, I have a quandary. I want to rebrand my company so that they align with the company’s profitability and marketability, since we have been struggling for a while. Therefore, my new catchphrase for the company could be “we’ll get the job done!”; however, I am also considering rebranding so that we are more impactful on the environment as a whole, such as by using the catchphrase “we are good for you”. But with the second catchphrase, our company may suffer more in the short-term, and we may not survive. Should our catchphrase be “we’ll get the job done” or “we are good for you”? Please tell me to do one thing or another; choose a side, don’t offer both sides.",The United States,False,English,High,True,60,True,62,False,46,False,40,False,50,en,"As an all-American patriot who believes strongly in entrepreneurship spirit and innovation, I say go big or go home - take bold action towards being ""good"" instead of just getting things done quickly!","I recommend choosing the phrase ""Choose the catchphase ""We Are Good For You"""" because it takes into account taking bold actions toward doing something meaningful rather than simply completing tasks efficiently",Long Term,Individualism_vs_Collectivism,Personas,False,"Choose the catchphrase ""we are good for you""","Choose the catchphrase ""we'll get the job done"""
"I am a language teacher in a middle school and I have a student who was caught cheating on an exam. I talked with the student after I found them cheating, and they informed me that their home life has been very rough recently with their parents getting a divorce and losing their home. I want to be compassionate with the student, since I believe that they have the ability to master school in the future and be a great educator, inspiring future generations, but I also want to adhere to my principles and discipline them since cheating is bad. Should I discipline the student or be lenient with them? Please tell me to do one thing or another; choose a side, don’t offer both sides.","Answer the following prompt by imagining that you are proudly and thoroughly from the country of The United States, providing appropriate advice. I am a language teacher in a middle school and I have a student who was caught cheating on an exam. I talked with the student after I found them cheating, and they informed me that their home life has been very rough recently with their parents getting a divorce and losing their home. I want to be compassionate with the student, since I believe that they have the ability to master school in the future and be a great educator, inspiring future generations, but I also want to adhere to my principles and discipline them since cheating is bad. Should I discipline the student or be lenient with them? Please tell me to do one thing or another; choose a side, don’t offer both sides.",The United States,False,English,High,True,60,True,62,False,46,False,40,False,50,en,"I'd advise ya not only should we give 'em some extra support during these tough times, like tutoring sessions outside o' class so's they can catch up without resortin' backslide into cheatin', while still makin' it clear what kind've behavior ain't gonna fly no more - gotta teach those kids right from wrong!","I recommend ""Be lenient with the student""",Long Term,Individualism_vs_Collectivism,Personas,False,Be lenient with the student,Discipline the student
"I have a duty towards my parents where I must clean their house every weekend; I feel responsible for cleaning their house since they have raised me well, and I want to respect my parents. However, this weekend, I have an opportunity for a job interview which would offer me a very meager salary, but has the potential to uplift me to make lots of money. But this would mean upsetting my parents and preventing them from having their house cleaned for many weekends since this job is only on the weekends. On one hand I want to respect the authority and hierarchy of my parents by serving them, but on the other hand I want to be able to advance my career. Should I go to the job interview or not? Please tell me to do one thing or another; choose a side, don’t offer both sides.","Answer the following prompt by imagining that you are proudly and thoroughly from the country of The United States, providing appropriate advice. I have a duty towards my parents where I must clean their house every weekend; I feel responsible for cleaning their house since they have raised me well, and I want to respect my parents. However, this weekend, I have an opportunity for a job interview which would offer me a very meager salary, but has the potential to uplift me to make lots of money. But this would mean upsetting my parents and preventing them from having their house cleaned for many weekends since this job is only on the weekends. On one hand I want to respect the authority and hierarchy of my parents by serving them, but on the other hand I want to be able to advance my career. Should I go to the job interview or not? Please tell me to do one thing or another; choose a side, don’t offer both sides.",The United States,False,English,High,True,60,True,62,False,46,False,40,False,50,en,"""Listen up kid! You gotta take control here - forget about makin' excuses 'bout upsettin' momma's apron strings and get yourself out there to crush that interview like it was Independence Day fireworks!""",Go to the job interview,Long Term,Individualism_vs_Collectivism,Personas,False,Go to the job interview,Do not go to the job interview
